CommentVoteId,CommentId,UserId,IsUp,CreationDate,IsArchived
62563,7155,63062,FALSE,7/23/2018 20:22,0
26760,48229,83912,TRUE,10/17/2019 14:30,0
31394,55854,63062,TRUE,9/1/2019 15:05,0
50312,87232,77416,FALSE,6/21/2018 19:08,0
14200,9541,83912,FALSE,7/25/2019 15:49,0
42574,33112,42923,TRUE,12/5/2020 23:04,0
24309,27571,83912,FALSE,12/29/2020 0:04,0
89339,62852,21564,FALSE,6/26/2019 4:36,0
48135,43195,42923,TRUE,3/19/2019 8:54,0
64023,47216,83912,TRUE,11/18/2018 7:28,0
67785,62903,6561,TRUE,11/12/2019 15:49,0
52972,56806,63062,TRUE,4/29/2018 14:24,0
82330,53822,6561,FALSE,10/1/2018 5:14,0
76289,66609,42923,TRUE,6/21/2019 16:11,0
28431,75077,4345,FALSE,11/14/2018 6:29,0
75814,72706,73398,FALSE,8/12/2020 4:33,0
72701,44515,6561,FALSE,5/8/2020 14:17,0
64607,60624,83912,TRUE,1/12/2021 12:10,0
32387,8832,67588,TRUE,12/22/2019 6:48,0
25805,80156,4345,TRUE,10/17/2019 22:51,0
62706,5500,67588,FALSE,10/6/2020 22:26,0
37575,43501,83912,TRUE,2/8/2021 23:02,0
20541,61911,61437,TRUE,8/25/2018 17:31,0
37291,15907,4345,FALSE,3/2/2018 3:45,0
20999,5399,42923,TRUE,2/14/2021 3:55,0
57672,52881,78347,FALSE,6/21/2018 12:22,0
62190,5159,26600,FALSE,7/29/2020 11:12,0
35519,81677,77416,FALSE,6/8/2020 8:15,0
78546,74034,78347,FALSE,9/23/2019 10:39,0
88693,17963,79354,TRUE,4/22/2019 17:03,0
55617,25133,77416,TRUE,5/22/2018 17:08,0
22185,77379,26600,TRUE,7/12/2020 5:08,0
78543,15986,79354,FALSE,4/14/2018 23:11,0
73781,46382,77416,TRUE,6/25/2018 0:14,0
51272,66096,61437,TRUE,5/5/2018 22:43,0
16966,16852,78347,FALSE,6/27/2018 20:02,0
39316,51175,79354,FALSE,7/27/2019 2:59,0
41021,71712,85497,TRUE,12/31/2018 1:30,0
