PostVoteId,PostID,UserID,IsUp,CreationDate,IsArchived
47995,1,63062,FALSE,12/26/2019 19:49,0
34143,1,83912,TRUE,12/28/2018 0:36,0
40119,1,77416,TRUE,7/17/2018 13:29,0
37162,1,42923,TRUE,11/25/2018 5:54,0
10544,2,79354,FALSE,8/1/2018 1:10,0
82944,2,78347,FALSE,3/29/2018 0:37,0
61035,2,6561,FALSE,3/30/2019 12:10,0
77873,2,4345,TRUE,1/16/2020 18:47,0
74012,3,67588,FALSE,4/10/2020 20:52,0
1966,3,26600,FALSE,4/18/2019 19:01,0
52786,3,61437,FALSE,7/30/2019 11:14,0
39810,3,85497,TRUE,9/7/2020 15:58,0
57865,4,21564,FALSE,6/14/2020 22:51,0
77670,4,73398,TRUE,3/2/2020 16:14,0
9873,4,67706,FALSE,9/9/2019 10:30,0
84465,4,63062,TRUE,6/10/2019 23:03,0
43453,5,83912,FALSE,6/24/2019 16:13,0
36433,5,77416,TRUE,6/7/2020 9:55,0
20089,5,42923,FALSE,12/6/2020 21:13,0
42537,5,79354,TRUE,4/15/2019 22:07,0
84847,6,78347,FALSE,11/12/2018 19:30,0
46496,6,6561,FALSE,6/27/2018 20:47,0
15615,6,4345,FALSE,4/21/2019 4:31,0
13319,6,67588,TRUE,8/24/2018 11:33,0
64214,7,26600,TRUE,5/7/2020 21:30,0
28775,7,61437,TRUE,1/21/2019 12:31,0
79265,7,85497,TRUE,4/13/2020 19:20,0
74359,7,21564,FALSE,7/9/2019 7:33,0
47030,8,73398,FALSE,4/13/2019 1:34,0
20858,8,67706,FALSE,8/2/2019 7:42,0
10443,8,63062,FALSE,12/26/2018 23:34,0
85004,8,83912,FALSE,1/11/2019 21:51,0
51984,9,77416,FALSE,7/7/2019 0:42,0
29030,9,42923,FALSE,1/13/2020 20:33,0
80709,9,79354,TRUE,2/2/2020 3:31,0
51950,9,78347,TRUE,2/12/2020 1:48,0
33000,9,6561,TRUE,11/14/2020 11:44,0
28643,9,4345,TRUE,9/26/2018 0:28,0
